commute,female,happy_work,income,yeduc,female_commute,female_yeduc,female_income
15,1,2,50,14,15,14,50
15,1,2,100,14,15,14,100
15,1,4,100,14,15,14,100
15,1,3,100,14,15,14,100
15,1,1,100,14,15,14,100
15,1,1,100,14,15,14,100
15,1,2,100,14,15,14,100
15,1,2,100,14,15,14,100
15,1,1,100,14,15,14,100
15,1,4,100,14,15,14,100
15,1,4,100,14,15,14,100
15,1,4,100,14,15,14,100
15,1,0,100,14,15,14,100
15,1,4,100,14,15,14,100
15,1,4,100,14,15,14,100
15,1,4,100,14,15,14,100
15,1,4,100,14,15,14,100
15,1,1,100,14,15,14,100
15,1,2,100,14,15,14,100
